BHK,SqftArea,Bathrooms,Balconies,CityTier,LocationType,Furnishing,PropertyAge,PowerBackup,SalePrice_INR,PricePerSqft
3,1511.4713984880086,2,0,Tier 1 (Metro),Tech Park,Fully Furnished,3,Yes,27196404.84604016,17993.330785647628
3,1065.4225756099368,3,1,Tier 3,City Center,Unfurnished,16,Yes,6991156.808706411,6561.862840858323
1,470.0323351993213,2,0,Tier 1 (Metro),Tech Park,Unfurnished,9,Yes,8065917.573152155,17160.346148806406
3,1484.9386148874767,2,0,Tier 1 (Metro),Outskirts,Semi-Furnished,22,No,14333837.91307213,9652.815119336294
3,2286.2379273089928,2,1,Tier 2,Tech Park,Unfurnished,11,No,19613207.978655875,8578.813142926696
1,388.8032974225836,2,0,Tier 2,Outskirts,Fully Furnished,1,No,2719580.763698778,6994.7471683680515
4,2585.670895500975,2,2,Tier 1 (Metro),Suburbs,Unfurnished,2,Yes,35233862.29822516,13626.584249190993
4,2398.7435093863232,2,0,Tier 2,Tech Park,Unfurnished,13,No,20181704.22023836,8413.448182878668
1,528.0636404490136,1,0,Tier 2,Tech Park,Unfurnished,24,No,2350313.940065248,4450.815697264768
2,1351.7240968390267,1,3,Tier 1 (Metro),Tech Park,Unfurnished,14,Yes,22459153.421042297,16615.19053596993
3,1611.631641782059,4,3,Tier 1 (Metro),Suburbs,Semi-Furnished,12,Yes,22412532.53109401,13906.73398935714
3,1616.7477587003787,2,1,Tier 3,City Center,Fully Furnished,8,Yes,11409505.159708772,7057.07188911169
2,989.3758693964909,1,1,Tier 3,Tech Park,Fully Furnished,1,Yes,8419637.773802169,8510.04965275539
2,1244.7137764837255,1,3,Tier 2,Outskirts,Unfurnished,18,Yes,4521830.867607694,3632.827846078569
2,1219.2938467621768,2,2,Tier 1 (Metro),City Center,Unfurnished,15,Yes,22494101.486171428,18448.466336399793
2,874.8645425007575,1,0,Tier 1 (Metro),City Center,Semi-Furnished,10,Yes,17172816.33507715,19629.114566684228
3,1104.2258416203697,4,2,Tier 2,City Center,Unfurnished,11,Yes,12400502.831176855,11230.042228481117
2,959.4038725208686,1,2,Tier 1 (Metro),Tech Park,Semi-Furnished,24,Yes,14936184.613587422,15568.192959594851
2,839.9922871204707,2,3,Tier 1 (Metro),Suburbs,Fully Furnished,0,Yes,13183936.643980477,15695.306785703442
3,1480.9426276153936,2,1,Tier 2,Suburbs,Fully Furnished,1,No,12401695.067644643,8374.190084334185
1,623.7438134684139,1,0,Tier 1 (Metro),Tech Park,Semi-Furnished,15,Yes,9885677.897578988,15848.939394858775
2,908.539668982642,2,1,Tier 2,Outskirts,Fully Furnished,1,Yes,6099210.153956551,6713.201814056486
3,1487.1529856065276,3,2,Tier 3,Outskirts,Unfurnished,18,Yes,4852841.539200426,3263.175736571056
4,2023.209093923358,3,2,Tier 1 (Metro),Outskirts,Unfurnished,9,Yes,21652981.17243437,10702.295297835695
3,1754.5292646615853,2,1,Tier 3,Tech Park,Semi-Furnished,18,No,9658984.67476781,5505.171597483067
3,825.9331998046183,4,1,Tier 1 (Metro),Suburbs,Fully Furnished,9,Yes,13989494.127085859,16937.803360362796
2,878.6599410469406,1,3,Tier 3,Tech Park,Fully Furnished,15,Yes,5937999.156575169,6758.017384404627
2,1042.2567384558945,2,1,Tier 1 (Metro),Suburbs,Semi-Furnished,12,No,13305804.762501938,12766.340836725618
3,1860.0236869280584,2,1,Tier 1 (Metro),City Center,Semi-Furnished,15,Yes,36000982.28213364,19355.120332683204
2,901.6195104987589,2,3,Tier 2,Tech Park,Fully Furnished,17,Yes,7606023.12281938,8435.956669362524
2,624.6894587916252,1,1,Tier 1 (Metro),Suburbs,Semi-Furnished,23,Yes,7074401.71957093,11324.669593841676
2,1123.9422891932272,2,2,Tier 3,City Center,Unfurnished,7,Yes,9983195.860672243,8882.302905283725
1,436.46376111743706,2,1,Tier 1 (Metro),City Center,Fully Furnished,23,No,8293007.775968851,19000.449784735953
2,762.0666681819278,1,0,Tier 1 (Metro),Tech Park,Semi-Furnished,17,Yes,13014132.352459664,17077.419726948097
2,875.1309220573552,2,2,Tier 2,Suburbs,Semi-Furnished,12,No,5539195.374690099,6329.561937621792
2,963.0949284688301,2,3,Tier 1 (Metro),City Center,Semi-Furnished,24,No,18242821.941931106,18941.873124526086
2,879.0510670923575,1,2,Tier 1 (Metro),Tech Park,Fully Furnished,6,Yes,16734287.641147278,19036.763923738108
4,1117.7735771603725,3,3,Tier 2,City Center,Unfurnished,20,Yes,11900772.839122238,10646.854678167772
3,1769.1198590661397,2,0,Tier 2,Outskirts,Unfurnished,22,Yes,8877596.439996853,5018.086476448829
3,1882.4625123836165,3,0,Tier 3,Tech Park,Fully Furnished,23,Yes,10149260.420346044,5391.480761810668
3,1695.456597401852,3,2,Tier 3,City Center,Semi-Furnished,24,Yes,10017819.839776156,5908.6265346618975
2,772.4628659150367,1,1,Tier 1 (Metro),Tech Park,Fully Furnished,17,Yes,12850627.663387528,16635.91640507541
1,479.8508466052482,2,2,Tier 2,Tech Park,Fully Furnished,5,Yes,4970866.281854718,10359.19039639421
3,1498.0436054311626,4,2,Tier 1 (Metro),Suburbs,Semi-Furnished,8,No,20787271.25001973,13876.27915145821
3,1679.6383168685732,3,0,Tier 2,Suburbs,Fully Furnished,5,Yes,12694428.17516353,7557.834354976097
3,1700.5021466154244,2,3,Tier 1 (Metro),City Center,Unfurnished,17,Yes,33420714.51942047,19653.438595146155
2,853.1652402443009,1,2,Tier 3,Tech Park,Fully Furnished,16,No,5988799.190311183,7019.50678229262
2,1016.399111282712,1,1,Tier 2,Tech Park,Semi-Furnished,11,Yes,8724682.270965634,8583.913714716795
2,1091.4560809230481,1,0,Tier 3,Outskirts,Fully Furnished,2,Yes,6552031.35084404,6003.018779558188
2,1291.1644644293533,1,2,Tier 3,Tech Park,Unfurnished,4,Yes,8558122.528652739,6628.2203115271695
3,1711.3519619474168,4,2,Tier 3,Suburbs,Fully Furnished,6,Yes,9620054.568201039,5621.31857274642
3,1736.7170062126556,4,1,Tier 3,Tech Park,Fully Furnished,9,Yes,10726320.76029303,6176.205289590874
2,1016.7653255858722,2,2,Tier 1 (Metro),Suburbs,Fully Furnished,9,Yes,14400582.377343038,14163.13284389911
5,3205.229572601752,3,2,Tier 1 (Metro),Outskirts,Fully Furnished,18,Yes,32326716.17760219,10085.616473132039
3,1622.9288387878494,4,2,Tier 1 (Metro),City Center,Semi-Furnished,24,No,30833168.539845094,18998.47226996971
2,827.782417965286,1,2,Tier 1 (Metro),Suburbs,Unfurnished,3,Yes,11591894.368003448,14003.552281886674
2,1280.6739940250382,1,1,Tier 2,City Center,Unfurnished,9,Yes,12157574.775674958,9493.10662385268
2,1139.5806545078055,2,2,Tier 2,City Center,Unfurnished,17,Yes,10518068.261259831,9229.770810564236
2,911.3911957743036,2,2,Tier 2,City Center,Fully Furnished,2,Yes,10096259.788426893,11077.855299939856
2,904.1014065201514,1,2,Tier 3,City Center,Unfurnished,20,Yes,5130288.577905762,5674.461449686301
2,1059.3151090281524,1,0,Tier 3,Suburbs,Semi-Furnished,2,No,5417452.359604106,5114.1084587892265
2,1092.6369590535169,1,1,Tier 1 (Metro),Outskirts,Fully Furnished,4,Yes,12443462.591058565,11388.469416079024
2,1039.4584531262412,2,0,Tier 1 (Metro),Tech Park,Fully Furnished,15,Yes,18569904.785917517,17864.98029821902
4,2124.523469377154,2,0,Tier 1 (Metro),Suburbs,Unfurnished,19,Yes,26744343.48060391,12588.396346802676
1,669.995737457638,1,1,Tier 1 (Metro),Outskirts,Fully Furnished,12,Yes,6940563.212330572,10359.115475371818
3,1821.4629456704656,2,0,Tier 2,Tech Park,Fully Furnished,10,Yes,16348143.8592152,8975.282147832868
2,1038.127118253005,2,0,Tier 2,City Center,Unfurnished,12,Yes,9586009.578491723,9233.945833746624
5,2970.655290383742,2,0,Tier 2,Tech Park,Semi-Furnished,18,Yes,25421026.013059665,8557.379947565656
2,793.4952192944921,1,1,Tier 3,Tech Park,Semi-Furnished,5,Yes,5165980.960931124,6510.412205790315
2,1079.5854099893618,1,2,Tier 3,Outskirts,Unfurnished,23,Yes,2161056.0302469167,2001.7462354073605
5,3404.653174866555,3,3,Tier 1 (Metro),Tech Park,Semi-Furnished,12,Yes,57570654.525105484,16909.403562776097
4,1912.7816418430505,4,3,Tier 2,City Center,Semi-Furnished,3,Yes,20961062.482306853,10958.418893078633
3,1245.7098214142745,2,1,Tier 1 (Metro),Suburbs,Semi-Furnished,24,No,15225150.711472323,12222.068454262457
2,869.5822222813879,1,3,Tier 1 (Metro),Suburbs,Fully Furnished,21,Yes,11499800.473959126,13224.511931475421
2,782.0733925315224,2,1,Tier 1 (Metro),Outskirts,Fully Furnished,4,No,10319790.605598059,13195.42475699569
3,1264.5714275616888,2,1,Tier 1 (Metro),City Center,Fully Furnished,18,Yes,25073305.05660637,19827.511922321395
4,1851.7967605639883,3,3,Tier 1 (Metro),City Center,Semi-Furnished,4,Yes,38177219.600591354,20616.31190507321
3,1078.3298942464075,2,0,Tier 1 (Metro),Tech Park,Fully Furnished,20,Yes,19558537.82355069,18137.80544145927
3,1504.685500184881,3,2,Tier 2,Outskirts,Semi-Furnished,13,Yes,8784680.53085217,5838.217042546628
2,1180.4554347573294,1,3,Tier 2,City Center,Unfurnished,3,Yes,11815698.254827093,10009.440345586694
3,1227.673145955924,4,3,Tier 1 (Metro),City Center,Semi-Furnished,11,Yes,25239925.36617288,20559.157337045024
2,1303.856784728354,2,3,Tier 1 (Metro),City Center,Fully Furnished,5,No,25703625.417088963,19713.53427626951
2,1102.158417705519,1,3,Tier 3,Suburbs,Semi-Furnished,18,Yes,4118612.0917470995,3736.8603510929534
2,1206.1161171248114,1,1,Tier 1 (Metro),Suburbs,Fully Furnished,9,Yes,16374113.873244183,13575.901723523488
3,1302.649633844359,3,1,Tier 3,Suburbs,Fully Furnished,0,Yes,9730904.595464576,7470.0858485998915
2,1170.905045413323,1,2,Tier 2,Tech Park,Unfurnished,22,No,7726767.097096285,6598.969854441765
2,781.6132199209374,2,2,Tier 1 (Metro),Tech Park,Unfurnished,22,No,11487476.448084319,14697.136838660832
3,1767.0742502509524,4,3,Tier 1 (Metro),Tech Park,Fully Furnished,15,Yes,30292996.076453485,17143.023883773643
2,1034.3678679587063,2,3,Tier 1 (Metro),City Center,Semi-Furnished,3,No,21174303.405191123,20470.76679496819
3,1665.9753659954351,4,3,Tier 1 (Metro),Suburbs,Unfurnished,8,Yes,22696002.77127738,13623.252320850685
2,764.8810788750297,1,2,Tier 1 (Metro),City Center,Unfurnished,17,Yes,14684899.717420088,19198.93186404652
2,820.986031544679,2,3,Tier 2,City Center,Fully Furnished,16,Yes,8824504.116940787,10748.665358334476
3,1679.1684654760152,4,0,Tier 1 (Metro),Outskirts,Semi-Furnished,14,No,16352009.440475611,9738.158961816913
1,405.1651995775799,1,2,Tier 2,City Center,Unfurnished,18,No,2142847.9111930337,5288.825183967279
2,1092.6412584198247,1,0,Tier 2,Tech Park,Unfurnished,6,No,9805266.189812543,8973.911715536806
2,726.5724387079508,2,3,Tier 1 (Metro),Suburbs,Semi-Furnished,24,Yes,8680506.361560984,11947.200167676816
1,584.8174212666668,2,1,Tier 1 (Metro),Suburbs,Unfurnished,17,No,7104013.674842341,12147.404329124853
5,1883.7383426157453,3,0,Tier 1 (Metro),City Center,Semi-Furnished,5,Yes,38545253.45008756,20462.105897660873
2,1110.4599875359047,1,2,Tier 1 (Metro),Tech Park,Fully Furnished,18,Yes,18261146.58331419,16444.668685303484
3,1687.6892800938,2,0,Tier 2,Tech Park,Unfurnished,20,Yes,13212345.99589829,7828.6602585779065
2,860.645636314085,2,2,Tier 1 (Metro),Tech Park,Fully Furnished,11,Yes,15101466.692329034,17546.672004292705
3,1674.607970125418,3,3,Tier 2,Suburbs,Semi-Furnished,24,Yes,10164871.439551296,6070.000633515442
3,1578.1326790000667,4,0,Tier 1 (Metro),Tech Park,Fully Furnished,2,Yes,29145118.887033705,18468.104282271488
3,1338.3474431421787,2,1,Tier 1 (Metro),Tech Park,Fully Furnished,0,No,24903948.496244915,18607.984513928088
2,798.2890631847583,1,0,Tier 2,City Center,Fully Furnished,4,Yes,8489505.907035677,10634.626350969862
2,607.4748616654842,1,1,Tier 2,Outskirts,Semi-Furnished,0,Yes,4624952.87374013,7613.406192743716
2,1069.9300094599387,2,2,Tier 1 (Metro),Tech Park,Semi-Furnished,7,No,18193054.785944127,17003.967198870618
4,1374.078891455178,3,3,Tier 1 (Metro),City Center,Semi-Furnished,6,Yes,28139771.810305186,20479.007417474102
3,1528.6032598323925,2,3,Tier 2,City Center,Semi-Furnished,14,Yes,15023771.648058072,9828.430988499522
5,2368.2758919588755,3,1,Tier 1 (Metro),Tech Park,Semi-Furnished,10,Yes,41009257.307987124,17316.081055939423
2,1135.8285550876392,1,2,Tier 1 (Metro),Outskirts,Unfurnished,17,Yes,11139461.701369956,9807.344296349767
3,1409.3863501530407,4,3,Tier 2,Suburbs,Unfurnished,13,Yes,10350349.039043775,7343.869222175924
4,1868.2208854611636,3,2,Tier 1 (Metro),Outskirts,Unfurnished,8,Yes,20205484.94816943,10815.361880071145
2,1146.374140857659,2,1,Tier 2,Tech Park,Fully Furnished,4,No,10694263.200944591,9328.77218683918
1,533.5058029084117,2,1,Tier 2,Outskirts,Fully Furnished,22,Yes,1919526.6956281913,3597.9490479088963
3,1594.8467871548337,4,0,Tier 2,City Center,Semi-Furnished,3,Yes,17094636.049087558,10718.66977240112
3,1640.7802769425577,3,3,Tier 2,City Center,Semi-Furnished,11,Yes,16391848.309339887,9990.276297009481
3,1039.3283630378683,2,3,Tier 2,Outskirts,Unfurnished,0,Yes,6572566.052458725,6323.85902877477
2,1151.3577359973965,1,0,Tier 2,Suburbs,Semi-Furnished,23,Yes,5920279.192650898,5141.9980146503185
3,1683.7406382040808,4,1,Tier 3,Outskirts,Fully Furnished,12,No,7130462.929978207,4234.893883409344
2,796.6633742847006,1,1,Tier 1 (Metro),Tech Park,Semi-Furnished,0,No,14343745.107000148,18004.775379411603
2,951.1839052651598,2,1,Tier 1 (Metro),Suburbs,Unfurnished,2,Yes,13733972.334333507,14438.819095141138
2,992.1385424744738,1,1,Tier 2,Outskirts,Semi-Furnished,21,No,4297176.466895873,4331.226217840875
3,1459.6509646794802,2,2,Tier 2,Outskirts,Fully Furnished,7,Yes,9618829.24376902,6589.814603987321
3,1600.1579899705603,4,3,Tier 1 (Metro),Suburbs,Unfurnished,23,Yes,19672327.09869198,12293.99048218602
3,1929.4100345493553,3,3,Tier 3,Outskirts,Semi-Furnished,17,Yes,7088759.257494882,3674.0553488157716
2,1216.3533455345657,1,1,Tier 1 (Metro),Tech Park,Fully Furnished,24,Yes,19502009.011819858,16033.177434349122
4,1475.1123226274376,4,1,Tier 2,City Center,Unfurnished,15,No,13965803.798241396,9467.620589980439
2,1124.4139980612097,1,1,Tier 2,Tech Park,Unfurnished,19,Yes,8156128.066403082,7253.669983179173
3,1898.679995860623,4,3,Tier 3,Outskirts,Fully Furnished,19,Yes,7930392.477649177,4176.792558481943
2,1077.3617041378404,1,3,Tier 1 (Metro),City Center,Semi-Furnished,15,No,20114372.77579927,18670.02762261335
2,1218.1960850371934,2,1,Tier 2,Suburbs,Semi-Furnished,1,No,9791903.840202717,8038.035879834366
2,1402.454089140153,1,2,Tier 1 (Metro),Tech Park,Semi-Furnished,16,No,23064318.206287652,16445.68502091104
2,1204.7419092213963,1,0,Tier 1 (Metro),Suburbs,Unfurnished,9,Yes,15462228.625777166,12834.473929582258
3,1574.7925786925189,2,0,Tier 1 (Metro),City Center,Unfurnished,6,Yes,31707385.064937938,20134.324668499
3,1813.526542225426,3,0,Tier 2,Outskirts,Semi-Furnished,9,Yes,10283567.82607156,5670.481013998463
2,1028.9775666193782,2,3,Tier 1 (Metro),City Center,Unfurnished,18,Yes,18727049.67988999,18199.66759957283
4,2009.5612173139823,3,3,Tier 1 (Metro),City Center,Unfurnished,19,No,39308674.14242742,19560.824424631435
2,929.7171528572535,2,0,Tier 2,Suburbs,Fully Furnished,8,No,7308042.328686759,7860.500697687803
3,1969.0240076496325,4,0,Tier 2,Tech Park,Semi-Furnished,21,No,15967785.355659882,8109.492466128013
4,1672.6285336231995,3,2,Tier 2,City Center,Semi-Furnished,16,Yes,16325890.467655987,9760.619372127603
3,1959.7103174034346,3,3,Tier 3,Outskirts,Semi-Furnished,8,No,8168900.086014174,4168.422247650232
2,1099.9728247480743,1,3,Tier 1 (Metro),City Center,Unfurnished,8,No,21283128.177707046,19348.776350526205
4,1440.2775300792234,4,0,Tier 3,Suburbs,Unfurnished,4,Yes,8775729.210464513,6093.082081188754
3,1610.2947878974264,4,2,Tier 3,Tech Park,Unfurnished,23,Yes,8419767.225303736,5228.711717000268
2,579.9946984696752,1,2,Tier 1 (Metro),Outskirts,Semi-Furnished,6,No,6854500.58410824,11818.21248055188
2,1125.1016033662072,2,0,Tier 1 (Metro),Suburbs,Unfurnished,10,Yes,15219676.838862991,13527.37992135735
3,1765.5694448966972,4,0,Tier 1 (Metro),City Center,Semi-Furnished,7,No,34770037.97242251,19693.38451847579
3,1322.293213304384,3,3,Tier 1 (Metro),City Center,Unfurnished,24,Yes,24084502.679616705,18214.192160474016
3,1537.0643087866747,4,0,Tier 2,Tech Park,Semi-Furnished,13,No,13679788.138205525,8899.945213745841
4,2781.6629735001143,2,1,Tier 2,Suburbs,Fully Furnished,1,No,19203304.366197813,6903.533803031018
3,1348.275988721419,4,2,Tier 2,Suburbs,Unfurnished,9,Yes,9865663.821247403,7317.243579041329
2,788.2184825886799,2,0,Tier 2,Tech Park,Semi-Furnished,20,No,5724481.61179805,7262.556941062349
2,1296.3326804925198,2,1,Tier 1 (Metro),Outskirts,Fully Furnished,23,Yes,13162451.485011833,10153.606156107227
2,1392.517438106159,1,2,Tier 3,Suburbs,Fully Furnished,15,Yes,6373647.807041033,4577.06857567922
3,1501.1087015543542,3,1,Tier 1 (Metro),Tech Park,Unfurnished,15,Yes,25846652.886260156,17218.375231251874
1,601.1463035408356,1,1,Tier 3,Suburbs,Semi-Furnished,18,Yes,1747480.491981829,2906.9138106463024
3,1902.4427746592642,3,0,Tier 1 (Metro),Tech Park,Unfurnished,10,No,32514690.59074285,17091.02161906887
3,1277.2547302384849,3,2,Tier 3,City Center,Fully Furnished,5,No,11293699.153349325,8842.166629706357
4,1805.8776658528527,3,1,Tier 1 (Metro),City Center,Unfurnished,5,Yes,35726182.66555787,19783.279532772583
2,1246.174902630947,1,3,Tier 1 (Metro),Suburbs,Semi-Furnished,6,Yes,17023204.14375229,13660.365096273883
3,2005.5042836125526,2,2,Tier 1 (Metro),Suburbs,Fully Furnished,15,Yes,28143194.75311194,14032.976634892584
2,1112.576172034871,1,3,Tier 2,City Center,Unfurnished,12,Yes,10346479.9617653,9299.569972671512
3,1236.0556939493838,4,0,Tier 3,Outskirts,Unfurnished,2,No,5839061.216962976,4723.946700416304
2,1397.412222339888,1,3,Tier 1 (Metro),Tech Park,Unfurnished,23,Yes,22302198.086698692,15959.641493155768
2,893.805820437607,2,2,Tier 3,Outskirts,Unfurnished,23,Yes,2101957.893360198,2351.694121135931
3,1399.4586656485644,2,1,Tier 2,Outskirts,Unfurnished,8,Yes,6843950.998133263,4890.427396054249
2,1068.4675668979244,1,1,Tier 2,Outskirts,Fully Furnished,23,Yes,5574247.738460129,5217.049081465158
2,1310.832084142955,2,2,Tier 3,City Center,Fully Furnished,2,No,9063518.297925133,6914.324426115204
3,1756.1927929656672,4,1,Tier 1 (Metro),Suburbs,Semi-Furnished,5,Yes,24244014.08650167,13804.870503745216
3,1624.459650108573,4,3,Tier 1 (Metro),Outskirts,Unfurnished,24,Yes,16033022.094346195,9869.75705630768
3,1638.986559035432,2,1,Tier 3,City Center,Semi-Furnished,16,No,10355648.1398912,6318.324017242492
3,1513.0544005930399,2,1,Tier 3,Tech Park,Fully Furnished,2,No,10221034.636851607,6755.232748304016
3,1667.4418543555516,3,3,Tier 3,Suburbs,Unfurnished,1,No,9109399.370005487,5463.098665905907
2,494.0879844611394,1,3,Tier 3,Tech Park,Semi-Furnished,11,No,2643700.125780732,5350.666700919666
2,940.6785081860403,1,3,Tier 1 (Metro),Outskirts,Unfurnished,23,No,7107748.154448152,7555.980170264967
2,1048.2643869833562,1,0,Tier 3,Suburbs,Unfurnished,5,Yes,5330314.541680068,5084.895192346833
4,1539.5943665521972,3,3,Tier 1 (Metro),Outskirts,Semi-Furnished,9,Yes,16742235.537220553,10874.445828685057
3,1615.896995343468,2,3,Tier 3,Suburbs,Fully Furnished,10,Yes,8041751.424279451,4976.648540998204
2,959.1057558027757,2,0,Tier 1 (Metro),Outskirts,Semi-Furnished,15,No,9610092.730648458,10019.846792186925
2,1351.095139663098,1,1,Tier 2,Tech Park,Semi-Furnished,15,Yes,11170785.89216078,8267.949135651741
4,2629.2078900859424,2,3,Tier 2,Tech Park,Semi-Furnished,23,Yes,21127944.034367535,8035.859056271474
2,906.8388861763674,2,2,Tier 1 (Metro),Outskirts,Unfurnished,17,Yes,8355948.554840971,9214.369478654951
3,1454.7486865299916,3,3,Tier 1 (Metro),Suburbs,Fully Furnished,21,No,19419554.952629473,13349.07887007679
3,1477.8157303174821,2,3,Tier 3,Tech Park,Fully Furnished,22,Yes,9279822.50752694,6279.417871356219
3,1364.502157152113,2,0,Tier 3,Suburbs,Unfurnished,23,Yes,5216612.0235537905,3823.0881469923897
1,519.5024984028126,1,2,Tier 1 (Metro),Suburbs,Fully Furnished,8,Yes,8021125.47653923,15440.01328424757
4,1696.6871724449638,4,1,Tier 2,Tech Park,Semi-Furnished,20,No,14716760.053613016,8673.820544305665
4,1547.7538660249895,2,1,Tier 2,City Center,Fully Furnished,18,Yes,16269438.440579392,10511.644517718627
3,1686.8133671700807,2,2,Tier 1 (Metro),City Center,Unfurnished,1,Yes,33747405.23381074,20006.602918038177
3,1688.8588752665432,3,3,Tier 1 (Metro),Suburbs,Fully Furnished,23,Yes,21754573.18379861,12881.226195033736
4,1678.273696136003,3,0,Tier 3,Tech Park,Unfurnished,0,Yes,11395773.643307231,6790.175922761853
3,1768.6066292287799,2,2,Tier 2,City Center,Semi-Furnished,15,Yes,17188886.395949844,9718.886106089767
2,873.6844541669337,1,2,Tier 2,Outskirts,Unfurnished,21,Yes,4240812.232941998,4853.940358805688
3,1575.9495714113941,2,1,Tier 2,Suburbs,Fully Furnished,17,Yes,10713687.616870226,6798.242666657936
3,1746.103203783737,2,0,Tier 1 (Metro),City Center,Semi-Furnished,2,No,35241828.79270877,20183.130479539304
2,993.2774870592574,2,2,Tier 1 (Metro),Tech Park,Fully Furnished,23,Yes,16376730.939374551,16487.568834224006
3,1636.4222736423403,4,0,Tier 1 (Metro),Tech Park,Unfurnished,0,Yes,29247096.3246311,17872.58508742555
4,1793.4281424449714,3,3,Tier 1 (Metro),Suburbs,Semi-Furnished,5,No,25675550.15519394,14316.464399956718
4,1921.4133666287612,3,1,Tier 2,Tech Park,Unfurnished,18,No,16169170.550414553,8415.248291305668
2,958.828113823932,2,3,Tier 3,Outskirts,Fully Furnished,21,Yes,2855834.7051013187,2978.4636724009647
2,850.6843306919523,1,0,Tier 1 (Metro),Outskirts,Unfurnished,18,Yes,7388928.088331258,8685.863629721562
5,2411.612918442109,4,3,Tier 1 (Metro),City Center,Fully Furnished,10,No,49145852.89301022,20378.831327855973
3,1035.414510340876,2,1,Tier 2,Tech Park,Fully Furnished,7,No,10347172.20197308,9993.265594246517
2,901.769250571579,1,0,Tier 3,Outskirts,Semi-Furnished,4,Yes,3630887.691906806,4026.404415104416
4,1886.0498026521316,3,2,Tier 2,Suburbs,Semi-Furnished,19,Yes,12306822.593425928,6525.1843170420425
4,1897.528099001848,4,3,Tier 3,Tech Park,Unfurnished,8,Yes,12518892.876165196,6597.474304992099
3,1427.5507662387663,4,1,Tier 2,City Center,Fully Furnished,14,Yes,15545162.036757713,10889.39350137107
3,1481.4707400419613,2,2,Tier 2,Suburbs,Fully Furnished,20,Yes,10097752.090992855,6816.0320808677225
2,1095.8883036172128,2,1,Tier 1 (Metro),Suburbs,Semi-Furnished,13,Yes,15736260.695683213,14359.365497142666
1,587.4517074132523,2,0,Tier 1 (Metro),Suburbs,Semi-Furnished,3,Yes,9055222.524393473,15414.411789296975
2,870.0469546303466,1,0,Tier 1 (Metro),Outskirts,Semi-Furnished,23,Yes,7634949.66484305,8775.330600504061
3,1139.0397433832568,3,3,Tier 2,Suburbs,Semi-Furnished,23,Yes,6926385.436249868,6080.898824194339
1,395.7955587756897,1,1,Tier 3,Outskirts,Unfurnished,7,Yes,1000000.0,2526.55689996444
2,902.5594157610146,1,1,Tier 3,Suburbs,Unfurnished,19,Yes,3377948.3232842432,3742.632633704281
2,929.6157364366982,2,1,Tier 1 (Metro),Outskirts,Unfurnished,16,Yes,8570759.00663734,9219.679347823694
3,1269.0011801407627,3,0,Tier 1 (Metro),Tech Park,Unfurnished,1,No,23458141.054279108,18485.51555458525
4,1481.5533343000423,4,3,Tier 1 (Metro),Outskirts,Semi-Furnished,19,Yes,16222718.410521828,10949.803854470232
2,908.7758345051624,1,1,Tier 1 (Metro),Outskirts,Unfurnished,15,No,8536306.722234512,9393.19290645819
2,1036.2853240227942,1,1,Tier 2,Tech Park,Unfurnished,9,Yes,8093527.440899348,7810.134191113299
3,1678.5088397506693,3,2,Tier 3,Suburbs,Unfurnished,1,Yes,8677925.922726473,5170.020983634211
2,888.5153893783357,1,1,Tier 3,Tech Park,Semi-Furnished,10,Yes,6148118.787637897,6919.541136974035
2,917.4004355713132,1,3,Tier 2,Suburbs,Fully Furnished,9,No,6522869.513530328,7110.166139683808
2,814.6603382305378,1,2,Tier 3,Outskirts,Semi-Furnished,18,Yes,3105051.881651376,3811.468087909649
2,993.7121659250447,2,2,Tier 2,Suburbs,Fully Furnished,24,Yes,6499574.957067649,6540.701804749676
2,830.314273161837,1,2,Tier 1 (Metro),Outskirts,Fully Furnished,24,Yes,7910055.253298816,9526.579885441837
2,1114.62556264824,2,0,Tier 2,Suburbs,Unfurnished,13,No,6436336.969421719,5774.438686054911
2,642.8267016131778,2,2,Tier 2,Outskirts,Unfurnished,10,No,3245598.235496924,5048.947449370217
4,1856.148131019015,3,1,Tier 2,Outskirts,Unfurnished,8,Yes,10547490.567023017,5682.46164773094
2,1060.2214678383484,2,0,Tier 1 (Metro),City Center,Semi-Furnished,6,Yes,21895421.971119598,20651.74365480589
3,1555.1503548967512,3,0,Tier 1 (Metro),Suburbs,Semi-Furnished,14,Yes,20396511.635892514,13115.459589916416
3,2307.910099194149,2,0,Tier 1 (Metro),Suburbs,Unfurnished,19,Yes,29017467.818663802,12573.049456647295
1,534.9800024567908,1,0,Tier 3,City Center,Semi-Furnished,16,Yes,3032291.580706887,5668.046593857121
3,1198.7836209473971,4,0,Tier 1 (Metro),Outskirts,Semi-Furnished,2,No,14069935.625224931,11736.843396396656
2,980.9071505821854,1,0,Tier 2,Outskirts,Fully Furnished,14,No,4759850.008858445,4852.498022910111
5,1611.8768332667742,2,0,Tier 2,City Center,Semi-Furnished,13,Yes,16148606.602957359,10018.511507625024
2,983.8800501406479,2,2,Tier 1 (Metro),City Center,Fully Furnished,7,Yes,20784733.515992172,21125.27183879879
2,833.3887885998482,2,3,Tier 2,Tech Park,Unfurnished,3,Yes,7141457.993605465,8569.17934497729
1,591.5390275560162,1,1,Tier 3,Outskirts,Semi-Furnished,9,Yes,2917106.940049133,4931.385427097446
5,2225.229862702233,3,1,Tier 1 (Metro),Tech Park,Fully Furnished,1,Yes,40382022.220169835,18147.34868384854
3,1464.970225261426,4,2,Tier 3,Suburbs,Semi-Furnished,13,Yes,6786115.359908482,4632.254801422663
